,AAPL,AMZN,AVGO,COST,GOOGL,META,MSFT,NVDA,PEP,TSLA
2020-10-02,,,,,,,,,,
2020-10-05,,,,,,,,,,
2020-10-06,,,,,,,,,,
2020-10-07,,,,,,,,,,
2020-10-08,,,,,,,,,,
2020-10-09,,,,,,,,,,
2020-10-12,,,,,,,,,,
2020-10-13,,,,,,,,,,
2020-10-14,,,,,,,,,,
2020-10-15,,,,,,,,,,
2020-10-16,,,,,,,,,,
2020-10-19,,,,,,,,,,
2020-10-20,,,,,,,,,,
2020-10-21,,,,,,,,,,
2020-10-22,,,,,,,,,,
2020-10-23,,,,,,,,,,
2020-10-26,,,,,,,,,,
2020-10-27,,,,,,,,,,
2020-10-28,,,,,,,,,,
2020-10-29,,,,,,,,,,
2020-10-30,,,,,,,,,,
2020-11-02,,,,,,,,,,
2020-11-03,,,,,,,,,,
2020-11-04,,,,,,,,,,
2020-11-05,,,,,,,,,,
2020-11-06,,,,,,,,,,
2020-11-09,,,,,,,,,,
2020-11-10,,,,,,,,,,
2020-11-11,,,,,,,,,,
2020-11-12,,,,,,,,,,
2020-11-13,,,,,,,,,,
2020-11-16,,,,,,,,,,
2020-11-17,,,,,,,,,,
2020-11-18,,,,,,,,,,
2020-11-19,,,,,,,,,,
2020-11-20,,,,,,,,,,
2020-11-23,,,,,,,,,,
2020-11-24,,,,,,,,,,
2020-11-25,,,,,,,,,,
2020-11-27,,,,,,,,,,
2020-11-30,,,,,,,,,,
2020-12-01,,,,,,,,,,
2020-12-02,,,,,,,,,,
2020-12-03,,,,,,,,,,
2020-12-04,,,,,,,,,,
2020-12-07,,,,,,,,,,
2020-12-08,,,,,,,,,,
2020-12-09,,,,,,,,,,
2020-12-10,,,,,,,,,,
2020-12-11,,,,,,,,,,
2020-12-14,,,,,,,,,,
2020-12-15,,,,,,,,,,
2020-12-16,,,,,,,,,,
2020-12-17,,,,,,,,,,
2020-12-18,,,,,,,,,,
2020-12-21,,,,,,,,,,
2020-12-22,,,,,,,,,,
2020-12-23,,,,,,,,,,
2020-12-24,,,,,,,,,,
2020-12-28,,,,,,,,,,
2020-12-29,,,,,,,,,,
2020-12-30,,,,,,,,,,
2020-12-31,0.43934496405984286,1.546642583959243,0.6517287676896504,1.9043801788590915,0.526901549423522,0.7704441465883174,0.7263134030710546,0.678041179974874,3.2470267367741346,
2021-01-04,0.4284845728452515,1.5132587049521653,0.63292920589447,1.9214131281926086,0.518931761086836,0.7585417562060887,0.7108674251322303,0.681079427401225,3.1587902988706245,
2021-01-05,0.43378227908595096,1.5283978873608162,0.6372160737107437,1.8991235586313107,0.5231165627808312,0.7642671287569225,0.7115532991282363,0.6962062418460847,3.168205028488515,
2021-01-06,0.4191804743137491,1.4903459548950195,0.6332862716380172,1.8702122288891398,0.5179547638635009,0.7426622025987022,0.6931032990214115,0.6551627318064374,3.1294500051982745,
2021-01-07,0.4334843434444092,1.5016384966233198,0.6599747940776792,1.8595982413006649,0.533425287643389,0.7579775243742853,0.7128267980590396,0.6930509209632875,3.1193790549323603,
2021-01-08,0.4372257051013767,1.5113924110636991,0.6633238918412989,1.869808262229985,0.5404871318415019,0.7546775259523311,0.7171699050797813,0.6895581384499869,3.1568192981538243,
2021-01-11,0.42706080845424127,1.4788680590835273,0.6635025507066306,1.8398356641459674,0.5279988237255997,0.7244136980456165,0.7102144219902122,0.7074635724226636,3.1110586760536,
2021-01-12,0.42646483336987157,1.4820118324429383,0.6689056584505528,1.8407960223336508,0.5223288957210007,0.7081959084567861,0.7018546835553984,0.7003611326217652,3.096607399365251,
2021-01-13,0.4333849018122876,1.5034097222720877,0.6716146459424397,1.8546955402080834,0.5252811344940097,0.7097472212253473,0.706458939904268,0.7028021911780041,3.1220062762971836,
2021-01-14,0.4268290461326134,1.4851650256736608,0.6728948664859056,1.8314452864166004,0.5203717603982343,0.6928242934055817,0.6956175818150683,0.685584992170334,3.103833037709426,
2021-01-15,0.4209684514675012,1.4741382692374436,0.6636364188620713,1.8304850912501673,0.5193796130666705,0.7089574698709016,0.6944093053054479,0.6678874293963116,3.095731918773947,
2021-01-19,0.4232531177754307,1.481978500590605,0.6836118155378634,1.7916174016447155,0.5364706441547795,0.7364289780967256,0.7067856232256546,0.6764960289001466,3.110401870712394,
2021-01-20,0.4371594279801766,1.5497056362675687,0.68749676390392,1.8261387816861148,0.5652111384943339,0.7544235999767597,0.732583064093297,0.6941806276639304,3.0944186978869896,
2021-01-21,0.4531851009446749,1.5704150059643915,0.6948498109491859,1.8337197589059164,0.5664378353673167,0.7696259887809428,0.7346404264379185,0.7202403247356417,3.0567588049267895,
2021-01-22,0.4604695119014405,1.5634057521820068,0.6921704949402225,1.8311924404568145,0.5689661482460477,0.7742234172984066,0.7378405832275811,0.7121900220712027,3.034426059041697,
2021-01-25,0.4732169326470824,1.5642462945451925,0.6918283594333057,1.8290700667943713,0.5694831918787072,0.7841235857743484,0.7495310790804611,0.7091124852498374,3.069239860489248,
2021-01-26,0.4740117390950523,1.5795041673323689,0.6904588094571739,1.8447383652385485,0.5735928434931653,0.7955182108104739,0.7586746809290932,0.6977902352809907,3.1047094927893673,
2021-01-27,0.470369507666348,1.5350793296215584,0.6619247963758017,1.8013214046119628,0.546833456751288,0.7675672137839162,0.7605358047946937,0.6709127624829612,3.022384108058983,
2021-01-28,0.45391347456951553,1.5374727015401806,0.6724034916094646,1.8047080080733344,0.5571332208791009,0.7474289439682268,0.7802266926217304,0.6778333087762198,3.0475631403544523,
2021-01-29,0.4369277954101564,1.5225520601459581,0.6705578119774173,1.7813061445187304,0.5493648181274066,0.7286163374908969,0.7574663005621141,0.6746521592140199,2.9901983075671654,
2021-02-01,0.4441459292457219,1.5874583066678518,0.651719413881588,1.77165267813919,0.5691194969025092,0.7389956050448948,0.7825779712911091,0.4194318743864126,2.9991749070939493,
2021-02-02,0.4469603454174641,1.6050857843137258,0.6658783100632265,1.7972277779864456,0.5769509019335449,0.7532954827333108,0.7821207392699984,0.4295635774044941,3.029828421653256,
2021-02-03,0.4434836251395092,1.573045758640065,0.6495551189646255,1.7953574351775343,0.6189674176381863,0.7520825791562724,0.7935173707268003,0.4287317487743898,3.021945588172421,
2021-02-04,0.4549069047785131,1.581816818199906,0.6571511009200028,1.802143683800331,0.6173891273998465,0.7516313669009087,0.7902846027265462,0.4329698323103912,3.0582914806547548,
2021-02-05,0.4534973871140255,1.59186042991339,0.6507001156611317,1.7987000229012255,0.6279713394295454,0.756172415537712,0.7909050465866522,0.4306487728534072,3.0863173840537836,
2021-02-08,0.45399495857913497,1.5779893071043727,0.6600415749031161,1.822299468211639,0.6266755894718006,0.75188529287648,0.7917866917035654,0.457510867833823,3.0740559782300605,
2021-02-09,0.45101046400005335,1.5694699754901964,0.6627364391280133,1.820932045961038,0.6239308794679125,0.7599801793057694,0.796032017021212,0.45194994950037365,3.056540519472146,
2021-02-10,0.4489546276274184,1.56072268299028,0.6563413592562335,1.803511106050932,0.6272648270653183,0.7668056090672811,0.7929296938633236,0.4678248155652541,3.0149395995669823,
2021-02-11,0.4480924022441009,1.5491120394538431,0.6679867586897015,1.783658867208367,0.627947274775926,0.7626313327724099,0.7983830360471943,0.48324013040333924,2.9551668053581532,
2021-02-12,0.4488882986055752,1.556510551303041,0.6790594529368033,1.7864439222547748,0.6298353108245761,0.7629416386286418,0.8000158295099755,0.47406698487988286,2.9310819289040877,
2021-02-16,0.4416593694362512,1.552350591210758,0.6829831128422402,1.7927746895032055,0.6345462092646844,0.7727287009231046,0.795803219260279,0.4857591923473579,2.9422483992954973,
2021-02-17,0.4338667214322254,1.5711985943364164,0.6736975589873472,1.8132346715682597,0.6369272704817289,0.7716004970746163,0.7992726262520382,0.4723162962234753,2.943999555375834,
2021-02-18,0.4301197285554849,1.5805013694015206,0.6747867093933658,1.8075625101725266,0.633076048304892,0.7598110396637876,0.7979305814645776,0.4698764473956349,2.9639243398393837,
2021-02-19,0.4306501531276575,1.5433041815664257,0.6841421154338211,1.796673994797927,0.6279653348134793,0.7377264947972746,0.7887008299370107,0.47296588014023,2.901304674526995,
2021-02-22,0.4178172779732012,1.5104617277781172,0.6651521900936795,1.7735805674495864,0.6175784575633513,0.734257270128299,0.7675570295922385,0.4548808651023795,2.889919333987759,
2021-02-23,0.41735297482029937,1.5169960751253015,0.6589243536103443,1.732762328579895,0.6193401195384837,0.7498545779122247,0.7634983878766242,0.4481079921520853,2.9072161174955755,
2021-02-24,0.41566189616715843,1.500389566608504,0.6714635300780296,1.7254191993648174,0.6264621022759678,0.7454826689174032,0.7676879417927179,0.45941998272258694,2.8921084252614757,
2021-02-25,0.40120401187818894,1.4517763642703787,0.6383428385396064,1.6909811231825091,0.6060611882440723,0.7183497430931809,0.7494900034951462,0.42166575093014297,2.846348192956706,
2021-02-26,0.4020993498717848,1.4687627109826782,0.6560899623041336,1.6762947017311034,0.6078529656782449,0.7266136825594127,0.7605855005407702,0.43456209473444224,2.82861347425551,
2021-03-01,0.4237529469185137,1.4940310085521025,0.6836115461258865,1.6801943330683264,0.6222082013078564,0.7471752778077737,0.7755105299690002,0.4385941756829228,2.859923404360568,
2021-03-02,0.41489913836628417,1.4695225322947782,0.6709467893753587,1.6634311839046645,0.6206509272257485,0.7305059728459415,0.7654623824558899,0.42479472962600534,2.869775874274111,
2021-03-03,0.40475217339132935,1.4270067401960786,0.6465810232872901,1.6404396448379912,0.6046963390122111,0.7203804580574362,0.744809515845085,0.4057353993198446,2.827518538823197,
2021-03-04,0.39835222724343655,1.413980797225354,0.619394694498274,1.6157256232367625,0.6114666360056298,0.7266701490451128,0.7420928150595726,0.3919676809341738,2.8432541915348533,
2021-03-05,0.40262993014588666,1.424850749034508,0.6285405439820424,1.6070152347923345,0.6304485206930045,0.745398142398932,0.7580325308810457,0.3948590808883233,2.93594755066765,
2021-03-08,0.38585091934723126,1.401814526202632,0.5882007886265807,1.5771352327786963,0.6035208199438544,0.7200983854440542,0.744253203903897,0.3673474019911528,2.916085133476856,
2021-03-09,0.40153563103708295,1.454478418125826,0.6194085231035377,1.6144082485101166,0.6133996604854224,0.7495162120232215,0.7651676872009434,0.3968575302325171,2.9187332088985074,
2021-03-10,0.39785491528154243,1.4520043251561185,0.611016568993051,1.6399836743998737,0.61214603521885,0.7471468713548448,0.760716308883891,0.39520935801529505,2.9480855862299533,
2021-03-11,0.4044205023317923,1.4785737243353154,0.6334973898098029,1.6643936613686068,0.6314917534504859,0.7724748615525727,0.7761323759034466,0.411858294409042,2.9401411650672724,
2021-03-12,0.40133666992187517,1.467129160376156,0.6299786007362506,1.6770040071927588,0.6162977191457719,0.7570185467728183,0.7716156193791736,0.40749990633163746,2.93616759020184,
2021-03-15,0.41115204168825753,1.4634203396591488,0.6573465924850115,1.6738133552746899,0.6176325914866564,0.7721082624207195,0.7685389489888524,0.41812646405025106,2.93594755066765,
2021-03-16,0.416391385655825,1.468254617616242,0.6676934622455848,1.657303867177067,0.6264862593082959,0.7877054835996057,0.7780308364894538,0.4212962311372289,2.957575741268333,
2021-03-17,0.41370544952600197,1.489087460087795,0.6752474856123418,1.6671286688910594,0.6259841810264478,0.8010464702915943,0.7758377325771795,0.42288106922560137,2.9489682780371704,
2021-03-18,0.39967867792869116,1.4379242261250815,0.648102997218739,1.6356787722334907,0.607681649362939,0.7858438216722929,0.7551522547557832,0.40326836833239754,2.9249124413444814,
2021-03-19,0.397888027891821,1.4602291771009859,0.6676775061625884,1.66571038401025,0.6093711173772132,0.8182512542121431,0.7539413818121985,0.4071750234630273,2.9683906161595837,
2021-03-22,0.4091624824368225,1.4772820425968545,0.6688316628326666,1.6939693027072487,0.6104925487116191,0.8279254701402452,0.7724011445107289,0.41796797721107265,3.041220778510677,
2021-03-23,0.40634391421363486,1.4899280024509804,0.6530422913552032,1.723595643654848,0.6136913000688252,0.8197179971597134,0.7776052290340281,0.4143069918328748,3.0778572635045056,
2021-03-24,0.39821962110039344,1.4659799360761456,0.6434872569874809,1.7119476122733879,0.6110457586087391,0.7957720501810057,0.7706663631218305,0.4007483972860509,3.06351064689575,
2021-03-25,0.39987763904389895,1.4466002174452242,0.6497212395175999,1.75398182665181,0.6110246038844441,0.7861823607713748,0.7604544844829323,0.39733308166028486,3.081608654960746,
2021-03-26,0.4019335792178201,1.4493402406281117,0.6783444431287501,1.7827470893533823,0.6087007712774465,0.7982541506107037,0.7740049098417895,0.40696905117891735,3.1493623162072732,
2021-03-29,0.402530436613122,1.4605948130289717,0.6650884248582974,1.8036628788353035,0.615032084647067,0.8202539091436273,0.7699462681261752,0.4104240036661834,3.1959294251033166,
2021-03-30,0.39758959919417003,1.4508882877873441,0.6419252746553333,1.7712509937775442,0.6152365187294462,0.8123001023235484,0.758850771080551,0.4079992156335766,3.145831548978405,
2021-03-31,0.4050506280393018,1.4693087736765547,0.6524795734948609,1.7850765000041735,0.6200616434428765,0.8307178764261751,0.7716811014437529,0.42310301140727297,3.121775127592534,
2021-04-01,0.3027520740622341,0.08111070537846811,0.6697744309513436,1.797535073043954,0.20530976598913023,0.19658953515505093,0.701165732296034,0.43779462018546184,0.8903552058920696,
2021-04-05,0.3098900781763662,0.08279732511190377,0.687407084594522,1.8273138388609278,0.21390666528181598,0.20333649860704733,0.7206080268169273,0.44336544773428616,0.9022030621127032,
2021-04-06,0.31065315548736266,0.08272265101457973,0.6809197549243812,1.823768452701406,0.2129715673851245,0.2015921696020666,0.7171072322746804,0.4393715793869919,0.9054169267499481,
2021-04-07,0.314812894764513,0.08414856919095666,0.6789354682622604,1.8171344659267332,0.2158414067644062,0.20608791521421083,0.7230093205112151,0.44831011590300684,0.9037784946844135,
2021-04-08,0.32086793200804453,0.08465945559862424,0.6831855187098806,1.829339214879224,0.21694037191795584,0.20604187299698376,0.7327015262910691,0.45380966982931725,0.898295702164024,
2021-04-09,0.32736604142897197,0.0865300589642567,0.6826365703581981,1.8394168625530016,0.2188915090127425,0.2056732118722158,0.7402238325140944,0.45644052105626687,0.8984849789118122,
2021-04-12,0.3230339813232422,0.08671455159564874,0.6806382778010026,1.8475198338174414,0.21638026996092366,0.20506766980543686,0.7403975273000784,0.4820835098148576,0.9013206796263225,
2021-04-13,0.33088577043892126,0.08724340175953081,0.682453607273172,1.8495458619207403,0.2173259576161703,0.20389599845659923,0.747861858757063,0.49699715168495084,0.901509678107795,
2021-04-14,0.3249784367627436,0.08552419041608439,0.6716742094701867,1.839214227138422,0.21611905097961429,0.1993278343789921,0.7394715835308208,0.4842390217379159,0.8955857778241098,
2021-04-15,0.3310580142181699,0.08670685396166493,0.6754737074112696,1.8677263178377075,0.220296999541196,0.20261900401997837,0.7507840531995928,0.5115066066600229,0.8968462685799622,
2021-04-16,0.3302212970091565,0.0872290323207106,0.6737710751623384,1.8774502093975365,0.2200559825608225,0.20153951816401722,0.7543715115251213,0.5043826080872509,0.9085051263191231,
2021-04-19,0.3318950010998414,0.08652518040273897,0.6501434847509695,1.8715248759995162,0.2207317572651488,0.19894601544763293,0.7485850515036748,0.4869253585102834,0.9122233208265402,
2021-04-20,0.32763686982711937,0.08556755714752111,0.6434731919958026,1.8825651641584873,0.21969547163356437,0.19921590207038656,0.7471964112643539,0.4808870402409994,0.9182729974848216,
2021-04-21,0.32859675039159186,0.08626884057724582,0.6470334668851455,1.8945169041299414,0.21963184421712706,0.19843922767118383,0.7539087232502029,0.48688569134537246,0.9262769941299681,
2021-04-22,0.32475703551037477,0.08490938203425702,0.6404476822732561,1.8801848908774879,0.2171418439258229,0.19518092222914887,0.7440429603916476,0.4707121851657496,0.9205419253679662,
2021-04-23,0.33061521171343206,0.0857263962194717,0.6559554584341336,1.8904151264418907,0.2217121319337325,0.19821544390071064,0.7555577220587896,0.4838665322107304,0.9190296592498695,
2021-04-26,0.33159963248979923,0.08747433860980172,0.6640048295330256,1.8663086850419008,0.22267614061182198,0.19947263088654898,0.7567151058679341,0.49061016236947447,0.903463218948977,
2021-04-27,0.33078741696801517,0.08769065543703322,0.6562650064442652,1.8748676267444584,0.22084937023394038,0.1998215047722189,0.7579302808334089,0.4875593361704077,0.9005015192468182,
2021-04-28,0.328793611432066,0.08874450303242705,0.6462031005066883,1.8717271853715949,0.22741031068744086,0.20214506023079615,0.7364916438343883,0.48423108224425154,0.8938215693839793,
2021-04-29,0.3285475158691406,0.08907320688197341,0.6561804983009876,1.8957835792476299,0.23066090742746995,0.2168962145439963,0.7305606370684745,0.4857525559003637,0.9071185809223593,
2021-04-30,0.3235755225455407,0.0889733882244032,0.6419815346220469,1.8884247999924884,0.22687626101753933,0.21398019397849344,0.7296057747698379,0.47576000614528535,0.9085051263191231,
2021-05-03,0.32623380151125464,0.08689673415376994,0.438912353774374,1.925118764241537,0.22587177428332245,0.21233459905215807,0.7286801064151458,0.2539258423973533,0.9187774943147833,
2021-05-04,0.31468978919605217,0.08498200447328631,0.46882923969273166,1.9046657920902614,0.22237728725780143,0.20955682640844323,0.7169047107641726,0.32439941218549406,0.907244746869797,
2021-05-05,0.31530520146436025,0.0839214772422992,0.46808039574074095,1.8905056032360115,0.22314271204399344,0.2073583206416938,0.7130856746914744,0.3268236951655122,0.9068033051869226,
2021-05-06,0.3193418544353825,0.08484087074257413,0.4730900501704531,1.9425768729967952,0.22531940359057806,0.21064951049436456,0.7225174759996349,0.3282817182742003,0.9173280607307214,
2021-05-07,0.3210431614488658,0.08446213618751149,0.4773085200509364,1.950494326077975,0.22672490892988267,0.21003077019762545,0.730415906714297,0.33481999101614107,0.9173280607307214,
2021-05-10,0.3127587788647944,0.08186741490517896,0.4599280591992854,1.9360811282426886,0.22092360221978394,0.20140129045391372,0.7151399001307872,0.32246674117096447,0.9246382837981181,
2021-05-11,0.3104411157286993,0.08272496108785055,0.464114906499823,1.9193324879703364,0.21883268031207,0.20176989094362827,0.7123912627669587,0.3233821520838878,0.9178950561751393,
2021-05-12,0.30269921822123,0.08087822586909768,0.4454583372504487,1.8889831477760253,0.21210304426424434,0.19915009282574597,0.6914735724186076,0.311000744060724,0.9089460114693665,
2021-05-13,0.30812347185493694,0.0811227647440175,0.4541274859563103,1.9261841081146507,0.21487839041334214,0.20093395588555382,0.7031330644399272,0.30889290022135585,0.9224326336751131,
2021-05-14,0.3142380682312616,0.08269904911343305,0.4657495370049137,1.9510019742525546,0.21963473233309663,0.20796390313184168,0.7179463286509461,0.3219525464763918,0.9238190121120877,
2021-05-17,0.3113287047584458,0.08391763234068574,0.4639778310307308,1.9486675099429926,0.22065077153119178,0.20764793386849204,0.7093535319141959,0.32020066695613786,0.9211723655323132,
2021-05-18,0.3078276409489093,0.08293973525598254,0.45743908756372986,1.942830697084085,0.21810100945559419,0.2040276371575649,0.7032777947941047,0.3168156779434256,0.9170128406485479,
2021-05-19,0.3074331676369846,0.08292741747545708,0.46585507847271557,1.9268441811586043,0.21897151723052521,0.20641706249583613,0.7050177263117385,0.3179458300801856,0.9165086777381649,
2021-05-20,0.31389290649111906,0.08333489873891703,0.47986078113571096,1.9467388055263428,0.22238886934338198,0.20972141015509813,0.7147613428104884,0.3303047418153336,0.9278523710484153,
2021-05-21,0.3092576187435943,0.08219047277903628,0.475895291894793,1.9322235563881383,0.22115302230372577,0.20815480249167903,0.7109624120010728,0.33887740509888453,0.927033099362385,
2021-05-24,0.3133751735120716,0.08326587061728202,0.48427966022383306,1.946078732482389,0.22760313315825031,0.21368399174255737,0.7272308290689843,0.3528977357763475,0.9317599536101469,
2021-05-25,0.31288207705658255,0.08362664924688705,0.48464876748050983,1.9558738643287596,0.22777953039516105,0.2157640570383013,0.7299566988287302,0.35370580849275307,0.9345957099779203,
2021-05-26,0.3127587788647944,0.08378342882978602,0.48565059207206596,1.9570919591137492,0.2294607397281763,0.2156784605545627,0.7292896906534833,0.3548869176392552,0.9345957099779203,
2021-05-27,0.30888782047989344,0.08288405074402036,0.49323358930651645,1.9666331038515796,0.2277612093723182,0.21902889085442065,0.7229678247166778,0.3500947976967957,0.9233147378951785,
2021-05-28,0.3072359020875232,0.08270341084499863,0.4981376136897714,1.9197895995572085,0.22719919681549075,0.21638277712335593,0.7240408857663474,0.3671949155851952,0.9323266707882495,
2021-06-01,0.3064222418907845,0.08258999016277953,0.4938979292213414,1.919586312057626,0.22954459876725172,0.21664607473697173,0.717429100096911,0.36764695915168555,0.9303732969068569,
2021-06-02,0.308345354665624,0.08298361098661454,0.4996141312951337,0.9851042133195317,0.22852374604254064,0.21665923254356295,0.7171392721691352,0.3792599276882431,0.934091380107748,
2021-06-03,0.30459771373484396,0.08177811295405861,0.49019613863728134,0.9935939480404747,0.22630556930195206,0.21461211229350827,0.7125285110254399,0.38358872350480366,0.9374243427280173,
2021-06-04,0.31039182341924987,0.08227104343626858,0.5009534848527485,1.0030415548403118,0.23073899023460623,0.21744914559609482,0.7272597016959356,0.39734331272815376,0.9385033481929149,
2021-06-07,0.31041645994280825,0.08206037258472612,0.48912043944719674,0.9846124319336574,0.23158055760643703,0.22154995489365759,0.7360174717574285,0.39826447197211673,0.9379320117939755,
2021-06-08,0.3124875459576597,0.08375649102622115,0.4888567407903389,0.9828006145269003,0.23120844978274727,0.2196410623537064,0.7324216132876518,0.39460261221775267,0.9291716873033598,
